Startup_Name,Industry,Location
Carry1st,Mobile Games,Cape Town
Stitch Money,Payments Infrastructure,Cape Town
Jambo Technology,Web3,Cape Town
Preserve Botanica,Biotechnology,George
Regenize,Recycling,Cape Town
Akiba Digital,Data & Tech,Johannesburg
Omnisient (PTY) Ltd,Privacy Data Collaboration,Cape Town
PROJECT GO,Water Solutions,Johannesburg
SharkSafe Barrier,Eco-friendly Tech,Stellenbosch
FCB.ai,AI,Johannesburg
Aspyre Foods,Food Tech,Cape Town
Thumeza,Logistics Financing,Johannesburg
Vollar,Social Development,Stellenbosch
ArcadeNetwork,Gaming,Cape Town
Solarise Africa,Energy,Sandton
MellowVans,Electric Vehicles,Cape Town
OVEX,Cryptocurrency,Cape Town
Azuro Solutions,Software Solutions,Johannesburg
DigsConnect.com,Student Accommodation,Cape Town
Telkom,Communications,Centurion
GreenBox Cg,Cold Storage,Botshabelo
Agrista,Food & Fiber Supply Chains,Cape Town
MariHealth Solutions,Biotech,Cape Town
Wildcards.world,Crypto Collectibles,Cape Town
Kudoti,Supply Chain,Cape Town
Eco-V,Green Tech,Pretoria
zindi,Data Science,Cape Town
Vula Mobile Pty Ltd,Healthcare,Cape Town
Pineapple Tech,Insurance,Johannesburg
Team LittleFish,Digital Platform,Johannesburg
Dijimo Marketplace,Marketplace,Sandton
Qilansar,Home Services,Sandton
"Tagora Technologies, INC",Fuel Supply Chain,Cape Town
Axaitech,Cancer Detection,Durban
The Maker Space Foundation,Technology Training,Cape Town
BAOM,Biotech,Cape Town
Nautilus Enterprises,Digital Wallet,Johannesburg
Leaper Innovate Green Energies,Energy Storage,Cape Town
Paie,Fintech,Howick
Phumalanga Energy Solutions,Solar Systems,Cape Town
DELMED,E-commerce,Johannesburg
SodaWorld,Metaverse,Johannesburg
Slide Financial.,Money Transfer,Cape Town
Aerobotics,Drone Solutions,Cape Town
JUMO.WORLD,Fintech,Johannesburg
Onli Messaging Platform,Messaging,Pretoria
GrooveTech- Better roads,Infrastructure,Durban
Intrinsic Cyber Security,Cyber Security,Paarl
Hemp Solutions,AgriTech,Johannesburg
Feels Health,Health Tech,Johannesburg
Lebowa Capital,Investments,Johannesburg
ReSpek Nature,Carbon Offset,Stellenbosch
Helixa TCG,Blockchain,Cape Town
Rand n Cent (Pty)Ltd,Job Creation,Upington
PENPlay Pty Ltd,EdTech,Pretoria
Ten2Drive,Driving School,Bloemfontein
q-hop,Retail Tech,Johannesburg
Smart Food Growing (SFG) Technologies,Food Growing,Pretoria
Dark Pools,Data Analytics,Johannesburg
The Change Collective Africa,Social Impact,Johannesburg
Mangau Animal Feeds,Animal Feed,Polokwane
du-engage,Customer Engagement,Cape Town
Bloomable,Gifting,Cape Town
Cape Bio Pharms,Biotech,Cape Town
Be Bold,Consulting,Johannesburg
MachineKind Sensure,Automotive Tech,Johannesburg
Math for Money,EdTech,Cape Town
Umphakathi weAfrika,Marketplace,Cape Town
AFRINETICS,Mobile Payments,Johannesburg
i-Pay,EFT Payments,Johannesburg
Sustainable AgriTech Systems,AgriTech,Johannesburg
PANEOTECH,Tech Solutions,Johannesburg
Yo-loco,Software Development,Pretoria
kolosage,Tech Hub,Pretoria
GAZE Association,Capacity Building,Johannesburg
StratXe,AI,Johannesburg
Oneway Connect,Job Matching,Johannesburg
Vaai.co,Auto Insurance,Port Elizabeth
The Retrade Project,Recycling,Johannesburg
Tactical Decisions,Data Insights,Johannesburg
Breaze Delivery,Delivery Platform,Middelburg
SECENMSPROD (Pty)Ltd,Energy Management,Jozini
Imbali-Agri,Agriculture,Nelspruit
Trublo.com,Travel Platform,Cape Town
The Soil Regen Guy,Soil Health,Cape Town
AmautaXR,Immersive Training,Johannesburg
NutraNectar Beverage Co.,Beverage,Cape Town
Thuto Platform,Tutoring,Cape Town
The Pocket Couch,Mental Health,Cape Town
M-games.,Gaming,Cape Town
Web3 Sanctuary,EdTech,Cape Town
RamStudios,Social Innovation,Johannesburg
Pheko PM Group,Super Foods,Pretoria
ROYAL FOREX ACADEMY,Forex Trading,Cape Town
Block Labs South Africa,Social Media,Cape Town
The Benefit Counsellor,Pension Funds,Cape Town
Simple Influence,Influencer Marketing,Cape Town
Ubiquity AI,Debt Management,Cape Town
FlyH2 Aerospace CC,Drone Tech,Cape Town
SUNX AI,Solar Projects,Johannesburg
Naked Insurance,Insurtech,South Africa
Ukheshe Technologies,Fintech,Johannesburg
Flow,Proptech,South Africa
Lulalend,Fintech,South Africa
Carscan,Auto Tech,Johannesburg
Yebo Fresh,Grocery Delivery,South Africa
DataProphet,AI,South Africa
Yoco,Payments,South Africa
iiDENTIFii,Digital Identity,South Africa
Lipa Payments,Fintech,South Africa
rather.chat,Messaging,Cape Town
Snapplify,Edtech,South Africa
VitruvianMD,Healthtech,South Africa
Mortgage Market,Fintech,South Africa
Pineapple,Fintech,Johannesburg
Omnisient Collaborative Consumer Intelligence,Data Platform,Cape Town
Howler,Event Tech,Johannesburg
Investsure,Fintech,Johannesburg
ProfitShare Partners,Fintech,Johannesburg
DARJYO,AI & Software,Durban
Zaio,Edtech,Cape Town
FloatPays,Fintech,Johannesburg
Explore Data Science Academy,Edtech,Cape Town
Digemy,Edtech,Cape Town
KHULA!,Agtech,Johannesburg
Watobe,Edtech,Cape Town
Mindjoy,Edtech,Cape Town
Inclusivity Solutions,Insurtech,Cape Town
StokFella,Fintech,Fourways
Meerkat,Fintech,Cape Town
Crossfin Technology,Fintech,Cape Town
Centbee,Blockchain,Gauteng
